,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
entry_number,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Missa Benedicta es - Kyrie,"(1, 4, 2, 2)","(1, 4, 2, 2)",Fuga,[Contratenor 1],[Tenor],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/1.0,4/1.0,5/1.0,9/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,24.0,32.0,64.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,13.0,13.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Missa Benedicta es - Kyrie,"(4, 2, 2, 2)","(4, 2, 2, 2)",Fuga,[Contratenor 1],[Tenor],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/3.0,4/3.0,5/3.0,9/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,28.0,36.0,68.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Missa Benedicta es - Kyrie,"(2, 2, 2, -3)","(2, 2, 2, -2)",PEN,[Contratenor 1],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/4.0,7/4.0,11/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,54.0,86.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Missa Benedicta es - Kyrie,"(2, 2, -3, 2)","(2, 2, -2, 2)",PEN,[Contratenor 1],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/4.5,7/4.5,11/4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,55.0,87.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,13.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Missa Benedicta es - Kyrie,"(2, 2, -3, 2)","(2, 2, -3, 2)",Fuga,[Tenor],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5/3.0,13/4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,103.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 2)",Fuga,[Tenor],[Contratenor 1],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/2.0,10/1.5,13/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,73.0,98.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,19.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Missa Benedicta es - Kyrie,"(4, -2, -2, -2)","(4, -2, -2, -2)",Fuga,[Contratenor 1],[Contratenor 1],[Discantus],[Contratenor 2],[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/3.0,13/3.0,14/2.0,16/4.0,18/3.0,22/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.0,100.0,106.0,126.0,140.0,168.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,14.0,12.0,12.0,14.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Missa Benedicta es - Kyrie,"(-2, -2, -2, -2)","(-2, -2, -2, -2)",Fuga,[Contratenor 1],[Bassus 1],[Bassus 1],[Bassus 1],[Bassus 2],[Bassus 1],[Bassus 2],[Bassus 1],[Bassus 1],[Contratenor 2],[Bassus 1],[Bassus 2],[Bassus 2],[Contratenor 1],[Bassus 2],[Discantus],[Discantus],[Bassus 1],[Bassus 2],[Bassus 2],[Bassus 2],[Bassus 2],[Contratenor 2],[Contratenor 2],[Discantus],9/4.0,11/2.0,11/3.5,11/4.0,14/3.0,17/1.0,19/1.0,21/3.0,22/2.0,22/3.0,22/4.5,24/3.0,25/2.0,25/3.0,25/4.5,28/1.0,28/4.0,30/1.0,31/1.0,31/4.0,32/1.0,32/2.0,34/1.0,34/4.0,35/1.0,70.0,82.0,85.0,86.0,108.0,128.0,144.0,164.0,170.0,172.0,175.0,188.0,194.0,196.0,199.0,216.0,222.0,232.0,240.0,246.0,248.0,250.0,264.0,270.0,272.0,10.0,10.0,11.0,22.0,16.0,16.0,16.0,14.0,10.0,12.0,13.0,14.0,10.0,12.0,13.0,14.0,10.0,16.0,15.0,10.0,12.0,14.0,14.0,10.0,11.0
8,Missa Benedicta es - Kyrie,"(4, -2, -2, -2)","(3, -2, -2, -2)",Fuga,[Bassus 1],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11/1.0,16/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.0,120.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
