,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
entry_number,,,,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
0,"Benedicta es, coelorum regina","(8, -2, -2, 2)","(8, -2, -2, 2)",Fuga,[Contratenor],[SextaVox],-,-,-,-,-,-,-,-,-,-,2/3.0,6/2.0,-,-,-,-,-,-,-,-,-,-,12.0,42.0,-,-,-,-,-,-,-,-,-,-,10.0,12.0,-,-,-,-,-,-,-,-,-,-
1,"Benedicta es, coelorum regina","(-2, -2, 2, -2)","(-2, -2, 2, -3)",Fuga,[Contratenor],[SextaVox],-,-,-,-,-,-,-,-,-,-,2/4.0,6/4.0,-,-,-,-,-,-,-,-,-,-,14.0,46.0,-,-,-,-,-,-,-,-,-,-,11.0,11.0,-,-,-,-,-,-,-,-,-,-
2,"Benedicta es, coelorum regina","(2, 2, -3, 1)","(2, 2, -3, 2)",Fuga,[Contratenor],[SextaVox],[Contratenor],-,-,-,-,-,-,-,-,-,4/3.0,8/3.0,10/1.0,-,-,-,-,-,-,-,-,-,28.0,60.0,72.0,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-
3,"Benedicta es, coelorum regina","(1, 2, 2, -2)","(1, 2, 2, -3)",Fuga,[SextaVox],[Contratenor],-,-,-,-,-,-,-,-,-,-,5/1.0,9/3.0,-,-,-,-,-,-,-,-,-,-,32.0,68.0,-,-,-,-,-,-,-,-,-,-,14.0,12.0,-,-,-,-,-,-,-,-,-,-
4,"Benedicta es, coelorum regina","(2, -3, 2, -5)","(2, -3, 2, -5)",Fuga,[Contratenor],[QuintaVox],-,-,-,-,-,-,-,-,-,-,10/2.5,13/4.0,-,-,-,-,-,-,-,-,-,-,75.0,102.0,-,-,-,-,-,-,-,-,-,-,11.0,10.0,-,-,-,-,-,-,-,-,-,-
5,"Benedicta es, coelorum regina","(-2, 4, -2, -2)","(-2, 4, -2, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,11/1.0,15/1.0,-,-,-,-,-,-,-,-,-,-,80.0,112.0,-,-,-,-,-,-,-,-,-,-,28.0,28.0,-,-,-,-,-,-,-,-,-,-
6,"Benedicta es, coelorum regina","(2, -2, -2, -2)","(2, -3, -2, -2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,11/3.0,15/3.0,-,-,-,-,-,-,-,-,-,-,84.0,116.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
7,"Benedicta es, coelorum regina","(-3, 3, -2, -3)","(-3, 2, -2, -3)",Fuga,[Contratenor],[QuintaVox],-,-,-,-,-,-,-,-,-,-,11/4.0,15/4.0,-,-,-,-,-,-,-,-,-,-,86.0,118.0,-,-,-,-,-,-,-,-,-,-,10.0,10.0,-,-,-,-,-,-,-,-,-,-
8,"Benedicta es, coelorum regina","(4, -2, -2, -2)","(4, -2, -2, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,12/1.0,16/1.0,-,-,-,-,-,-,-,-,-,-,88.0,120.0,-,-,-,-,-,-,-,-,-,-,26.0,26.0,-,-,-,-,-,-,-,-,-,-
9,"Benedicta es, coelorum regina","(-2, -2, -2, -2)","(-3, -2, -2, -2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,12/1.0,16/1.0,-,-,-,-,-,-,-,-,-,-,88.0,120.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
10,"Benedicta es, coelorum regina","(-2, -2, -2, -2)","(-2, -2, -2, -2)",ID,[Discantus],[Discantus],[Tenor],[Tenor],-,-,-,-,-,-,-,-,12/3.0,13/3.0,16/3.0,17/3.0,-,-,-,-,-,-,-,-,92.0,100.0,124.0,132.0,-,-,-,-,-,-,-,-,23.0,16.0,23.0,16.0,-,-,-,-,-,-,-,-
11,"Benedicta es, coelorum regina","(-2, -2, -2, 4)","(-2, -2, -2, 5)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,12/3.0,16/3.0,-,-,-,-,-,-,-,-,-,-,92.0,124.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
12,"Benedicta es, coelorum regina","(-2, -2, -2, 2)","(-2, -2, -2, 2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,14/1.0,18/1.0,-,-,-,-,-,-,-,-,-,-,104.0,136.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
13,"Benedicta es, coelorum regina","(-2, -2, 2, 2)","(-2, -2, 2, 2)",Fuga,[Discantus],[Tenor],[SextaVox],[Discantus],[Bassus],[Tenor],-,-,-,-,-,-,14/3.0,18/3.0,22/1.0,22/4.0,26/1.0,26/4.0,-,-,-,-,-,-,108.0,140.0,168.0,174.0,200.0,206.0,-,-,-,-,-,-,20.0,20.0,16.0,18.0,16.0,18.0,-,-,-,-,-,-
14,"Benedicta es, coelorum regina","(2, -3, 1, 1)","(2, -3, 1, 1)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,19/1.0,23/1.0,-,-,-,-,-,-,-,-,-,-,144.0,176.0,-,-,-,-,-,-,-,-,-,-,24.0,24.0,-,-,-,-,-,-,-,-,-,-
15,"Benedicta es, coelorum regina","(2, -3, 1, 1)","(2, -3, 1, 2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,19/3.0,23/3.0,-,-,-,-,-,-,-,-,-,-,148.0,180.0,-,-,-,-,-,-,-,-,-,-,24.0,24.0,-,-,-,-,-,-,-,-,-,-
16,"Benedicta es, coelorum regina","(-3, 1, 1, -2)","(-3, 1, 1, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,20/1.0,24/1.0,-,-,-,-,-,-,-,-,-,-,152.0,184.0,-,-,-,-,-,-,-,-,-,-,20.0,20.0,-,-,-,-,-,-,-,-,-,-
